POA_CODE_2021,Chinese_Tot_resp,English_Tot_resp,Filipino_Tot_resp,German_Tot_resp,Greek_Tot_resp,Indian_Tot_resp,Lebanese_Tot_resp,Aust_Tot_resp
POA3000,15184,5337,1120,723,303,3118,90,3287
POA3002,327,1861,41,231,122,79,24,1141
POA3003,1709,1497,191,229,99,527,11,1145
POA3004,1578,2825,193,402,200,530,28,1753
POA3006,4687,4118,463,567,271,2212,78,2796
POA3008,3405,2367,328,342,210,2026,45,1555
POA3011,1856,5575,428,698,593,798,49,4655
POA3012,2194,6452,636,724,732,964,157,5906
POA3013,620,5160,175,649,917,235,101,4547
POA3015,629,6130,183,731,801,401,428,5575
POA3016,361,5833,142,613,765,158,131,4785
POA3018,481,4348,164,604,413,241,82,3682
POA3019,1392,1100,337,117,73,520,10,1021
POA3020,3791,5432,1376,586,1449,1380,185,5562
POA3021,3842,4623,2074,645,1265,1952,427,5023
POA3022,138,484,72,85,74,128,18,449
POA3023,4333,7320,4452,822,1492,4142,478,8407
POA3024,778,6929,1142,717,284,6005,117,7203
POA3025,585,2616,197,261,870,251,1281,2624
POA3026,736,765,950,80,154,607,35,957
POA3027,1544,1035,335,111,66,2151,79,909
POA3028,1377,6304,933,712,1026,1568,550,6220
POA3029,5079,16842,5717,1745,1219,27729,1936,17590
POA3030,11018,24089,3530,2578,2020,15202,723,22490
POA3031,1676,5040,186,724,286,383,86,4316
POA3032,3105,6668,532,912,1017,909,109,6227
POA3033,695,3007,162,333,1111,362,199,3156
POA3034,942,1732,244,200,894,258,148,1944
POA3036,130,1510,44,178,351,96,111,1451
POA3037,2356,7158,2116,848,2014,3239,872,8955
POA3038,1086,3833,522,576,1959,946,567,4543
POA3039,803,4370,194,530,813,541,131,3856
POA3040,1137,7017,203,833,1375,858,356,6472
POA3041,427,3389,86,403,668,508,190,3433
POA3042,518,3900,170,418,1023,402,206,4127
POA3043,423,4018,323,400,972,565,774,4084
POA3044,1004,6329,305,719,2280,927,831,6411
POA3045,0,3,0,0,0,0,0,0
POA3046,1195,6504,603,770,1280,1854,2248,6555
POA3047,338,2423,345,171,318,723,1996,3029
POA3048,218,1821,249,138,249,310,1574,2358
POA3049,193,2216,124,254,413,191,282,2427
POA3051,2602,3261,245,464,201,514,49,2652
POA3052,943,2106,69,295,113,279,30,1781
POA3053,3958,3113,237,420,182,780,61,2134
POA3054,255,2961,35,374,297,115,79,2138
POA3055,691,4114,192,528,958,329,236,3554
POA3056,1191,7741,237,1086,1580,451,403,6266
POA3057,659,4191,129,572,616,223,173,3163
POA3058,1383,8695,310,1174,2566,667,1585,7877
POA3059,373,2753,391,272,829,762,1017,3665
POA3060,198,1577,210,178,575,927,977,1919
POA3061,47,438,26,18,231,88,952,596
POA3062,0,0,0,0,0,0,0,0
POA3063,0,155,0,18,19,16,10,200
POA3064,1537,13422,2898,1131,1722,13095,3252,16506
POA3065,683,3271,59,419,269,147,43,2173
POA3066,634,2749,80,374,264,121,46,1927
POA3067,837,2923,158,371,258,213,20,2064
POA3068,729,7336,80,1003,746,240,97,5303
POA3070,915,8665,137,1060,2233,367,239,6969
POA3071,699,5650,130,721,2067,299,363,4714
POA3072,2377,8090,401,1015,3022,992,585,7262
POA3073,3094,9780,703,1143,3856,1902,1478,9521
POA3074,1103,1942,293,173,1555,1032,772,2306
POA3075,1010,2416,463,181,1835,1189,1028,2878
POA3076,1370,4768,682,447,1678,2918,965,5387
POA3078,595,4071,51,456,849,186,73,3509
POA3079,1502,5022,81,522,1056,399,163,4472
POA3081,1053,3655,229,370,628,372,263,3262
POA3082,1911,4709,613,504,2288,1183,618,5384
POA3083,4246,5960,452,649,2019,1477,432,5838
POA3084,2406,7834,267,853,1172,979,272,7243
POA3085,934,4510,118,496,428,507,86,4136
POA3087,494,2870,81,313,358,241,74,3000
POA3088,1224,9336,153,1049,947,464,133,9112
POA3089,228,5049,52,484,322,136,46,4719
POA3090,34,889,20,54,125,37,19,836
POA3091,13,596,9,52,66,12,14,520
POA3093,178,1480,16,158,126,39,16,1279
POA3094,322,3691,26,427,221,114,24,3382
POA3095,919,11447,102,1267,743,311,96,9921
POA3096,16,833,15,79,34,5,0,808
POA3097,31,629,7,69,24,11,0,617
POA3099,29,2139,8,269,74,17,3,2049
POA3101,3975,7121,143,792,1158,700,146,5826
POA3102,890,1824,37,193,512,219,33,1611
POA3103,5242,3442,63,343,631,656,65,2711
POA3104,6800,3872,100,442,1726,864,118,3068
POA3105,2230,1504,76,189,1397,280,179,1697
POA3106,4051,3091,113,338,1610,513,258,2755
POA3107,3004,2644,122,294,1669,371,220,2486
POA3108,9159,3624,242,360,2104,756,174,2976
POA3109,11740,4553,187,508,2103,1135,232,3815
POA3111,2640,3107,65,412,643,333,89,2758
POA3113,368,3454,24,386,306,115,42,2999
POA3114,162,1544,7,165,89,58,4,1291
POA3115,101,1723,9,194,68,36,7,1479
POA3116,503,4650,114,558,125,294,25,4238
POA3121,2179,10467,311,1197,1565,534,89,8046
POA3122,2052,7653,172,875,701,871,54,5960
POA3123,2042,4625,98,551,521,580,39,3863
POA3124,3480,7003,89,798,960,674,66,5473
POA3125,3794,3158,181,367,669,1030,25,2795
POA3126,1540,2348,19,274,208,238,31,2040
POA3127,3008,6422,131,636,535,507,58,5171
POA3128,8915,4471,284,453,425,998,29,3550
POA3129,5630,4091,206,425,653,650,56,3528
POA3130,6961,9199,327,1060,1177,1490,90,8354
POA3131,5489,5569,282,696,811,1151,63,5199
POA3132,3175,4892,163,573,302,751,22,4530
POA3133,6170,5356,240,647,817,1221,66,4603
POA3134,3961,11252,309,1345,684,929,87,10396
POA3135,1833,7587,170,869,309,642,40,6732
POA3136,2877,17627,359,2077,625,1183,105,15761
POA3137,267,6006,139,687,168,205,29,5681
POA3138,810,8986,201,985,219,447,70,8667
POA3139,123,6484,53,706,86,60,12,6185
POA3140,241,7524,152,797,161,228,32,6757
POA3141,2577,7839,267,1007,749,708,108,5161
POA3142,1419,4107,72,460,418,307,75,2848
POA3143,673,3240,58,399,354,308,36,2470
POA3144,714,3967,84,400,503,267,33,3081
POA3145,2670,7087,205,797,1717,926,64,6112
POA3146,3170,8409,167,958,1293,935,71,7431
POA3147,2466,4236,118,451,678,555,43,3857
POA3148,1804,1577,181,194,794,697,29,1509
POA3149,9418,6498,240,737,2276,2713,87,5511
POA3150,21314,10058,506,1135,2369,5227,127,8077
POA3151,3240,1729,109,245,992,608,37,1501
POA3152,9288,8015,434,827,872,2119,112,7149
POA3153,2189,6779,442,972,269,931,42,6430
POA3154,97,1950,33,325,28,39,0,1715
POA3155,1942,8345,301,1072,331,784,70,7650
POA3156,2605,13522,440,1822,806,1062,104,13117
POA3158,99,3130,43,360,79,60,10,2649
POA3159,19,1108,8,186,22,6,4,1024
POA3160,131,4152,38,513,125,63,14,3433
POA3161,1314,3207,110,644,424,494,31,3958
POA3162,942,3722,129,684,745,366,46,4352
POA3163,3710,7782,403,1014,1871,2942,57,6833
POA3165,2969,6944,236,893,2759,1366,174,7062
POA3166,3058,4844,336,585,3586,1565,116,4671
POA3167,1271,1700,180,193,1397,880,65,1624
POA3168,5402,2496,487,288,1087,2796,36,2181
POA3169,3521,2280,602,249,2544,2377,173,2125
POA3170,3379,2992,308,356,1885,1274,160,3027
POA3171,4886,1735,391,145,546,1259,13,1449
POA3172,3192,4483,312,428,991,664,144,4262
POA3173,5704,3404,685,363,730,2198,164,3381
POA3174,3570,4788,1007,470,1237,2833,206,4226
POA3175,2662,6283,1024,655,1567,3918,609,6095
POA3177,407,1596,268,182,156,655,70,1449
POA3178,4499,8716,453,997,1107,1609,235,8483
POA3179,1107,1444,58,180,144,435,7,1488
POA3180,1410,2123,164,293,163,349,7,1953
POA3181,965,6611,185,876,1305,404,58,4640
POA3182,708,7414,227,1041,596,695,80,4635
POA3183,502,5005,170,840,480,515,44,4600
POA3184,329,5552,92,743,445,197,46,3962
POA3185,479,4132,113,575,472,264,27,3636
POA3186,1473,8704,91,929,950,282,84,6419
POA3187,1168,5258,66,666,833,313,83,4530
POA3188,787,7164,68,778,731,285,104,5443
POA3189,406,1740,92,222,387,341,56,1580
POA3190,615,4113,127,449,503,320,54,3444
POA3191,303,4571,31,536,306,153,28,3233
POA3192,1491,7790,225,874,1494,866,114,6889
POA3193,603,8499,54,925,824,203,63,6587
POA3194,681,4749,103,488,731,340,47,3699
POA3195,1795,13310,345,1403,1605,939,139,11739
POA3196,720,10256,323,982,772,466,103,8942
POA3197,505,4530,122,468,411,234,59,3835
POA3198,281,7035,140,725,355,168,39,6059
POA3199,1432,22935,575,2346,1095,751,180,19163
POA3200,113,2112,100,227,69,46,8,1995
POA3201,463,7959,620,695,462,814,149,7449
POA3202,269,669,54,78,121,105,31,682
POA3204,4020,8541,233,1026,1887,1672,109,7704
POA3205,870,3706,138,448,482,279,24,2634
POA3206,182,3669,26,438,945,202,37,2702
POA3207,810,5747,115,693,1154,235,82,4199
POA3211,18,458,0,45,23,23,60,450
POA3212,189,6951,416,847,103,317,64,6962
POA3213,25,1441,26,183,74,62,12,1576
POA3214,317,7596,522,813,154,442,42,7841
POA3215,283,6391,244,968,224,356,47,6492
POA3216,1551,23789,526,2853,519,1546,110,21814
POA3217,364,7771,363,951,161,840,31,7676
POA3218,304,5859,103,681,172,279,23,5233
POA3219,210,8087,193,924,189,303,16,7663
POA3220,558,6679,112,756,232,346,39,5601
POA3221,3,351,0,37,0,8,0,340
POA3222,173,8479,134,889,188,101,23,7156
POA3223,56,3906,31,353,252,31,9,3207
POA3224,180,6340,135,722,147,158,21,5794
POA3225,30,2628,16,214,29,28,5,1890
POA3226,154,7704,23,832,118,49,18,7343
POA3227,30,2421,6,199,29,8,6,2186
POA3228,229,10471,72,1143,200,102,52,9157
POA3230,35,1397,9,140,16,0,0,1254
POA3231,12,648,0,88,12,0,0,536
POA3232,15,557,5,56,28,5,0,365
POA3233,50,932,12,130,41,18,0,715
POA3234,0,115,0,10,0,0,0,75
POA3235,3,237,0,26,0,0,0,144
POA3236,0,94,0,16,0,3,0,89
POA3237,0,99,0,20,0,0,4,80
POA3238,3,77,0,10,0,0,0,101
POA3239,0,229,5,18,3,0,0,148
POA3240,0,968,0,115,0,3,0,966
POA3241,3,1294,26,155,14,15,6,1309
POA3242,0,425,3,38,0,0,4,394
POA3243,0,169,0,26,0,0,0,153
POA3249,9,1436,18,97,0,4,3,1473
POA3250,289,5150,91,423,46,67,17,5315
POA3251,0,195,3,13,0,4,0,264
POA3254,0,113,6,10,0,0,0,167
POA3260,22,2020,29,145,10,12,0,2113
POA3264,7,894,10,65,0,14,0,981
POA3265,6,1084,22,103,3,0,0,1204
POA3266,4,1212,13,66,15,5,0,1438
POA3267,0,80,4,5,0,0,0,101
POA3268,5,1085,62,72,0,4,0,1024
POA3269,13,212,5,24,0,0,4,302
POA3270,0,158,5,18,0,0,0,125
POA3271,0,68,0,10,0,0,0,69
POA3272,6,749,9,51,0,0,0,681
POA3273,0,59,0,3,0,0,0,58
POA3274,0,94,0,12,0,0,0,99
POA3275,0,194,0,20,0,0,0,220
POA3276,0,196,3,29,0,0,0,205
POA3277,4,735,3,60,10,0,0,859
POA3278,0,103,0,16,0,0,0,168
POA3279,0,89,7,8,0,0,0,132
POA3280,481,13667,286,1352,123,196,35,12952
POA3281,0,786,7,83,5,3,0,787
POA3282,4,1056,7,121,6,12,0,990
POA3283,0,544,11,74,3,6,3,634
POA3284,28,1573,15,164,16,5,0,1490
POA3285,0,515,18,43,0,0,0,502
POA3286,0,228,4,18,0,0,0,231
POA3287,0,155,14,37,0,0,0,181
POA3289,0,310,0,98,4,3,0,345
POA3292,0,79,0,14,0,0,0,70
POA3293,0,143,0,12,0,0,0,141
POA3294,0,389,0,84,8,0,0,347
POA3300,85,4321,24,749,31,78,3,4511
POA3301,0,470,19,160,0,0,0,554
POA3302,0,153,0,28,0,0,0,144
POA3303,0,122,9,8,0,0,0,126
POA3304,8,1122,17,125,5,0,0,1120
POA3305,67,5768,114,753,40,62,3,5662
POA3309,0,33,0,0,0,0,0,77
POA3310,3,129,0,14,0,0,0,104
POA3311,0,743,9,71,0,25,0,714
POA3312,0,419,11,36,0,0,0,418
POA3314,0,234,0,56,0,0,0,256
POA3315,10,709,19,101,0,0,0,712
POA3317,0,78,0,10,0,0,0,61
POA3318,0,470,20,107,0,20,0,522
POA3319,0,149,0,37,0,0,0,162
POA3321,3,727,9,71,17,0,0,856
POA3322,0,81,0,20,0,0,0,62
POA3323,0,31,0,4,0,0,0,30
POA3324,0,208,0,15,0,0,0,285
POA3325,0,185,0,18,6,0,0,200
POA3328,4,901,0,89,11,6,0,1127
POA3329,0,158,0,16,7,5,0,121
POA3330,0,77,0,0,4,0,0,98
POA3331,29,2946,12,360,29,21,0,3251
POA3332,4,467,9,47,13,0,0,511
POA3333,0,366,0,32,0,0,0,349
POA3334,0,213,0,27,0,0,0,188
POA3335,133,872,433,82,89,852,26,942
POA3336,383,1650,1414,203,394,2930,154,2255
POA3337,612,11554,1004,1203,582,1675,203,11938
POA3338,612,8428,1415,962,333,3119,138,9133
POA3340,196,9755,176,1069,261,620,56,9974
POA3341,3,665,4,85,20,0,0,678
POA3342,16,1634,11,184,29,17,0,1658
POA3345,4,539,3,65,0,5,14,569
POA3350,1323,27565,421,2981,398,1414,86,24843
POA3351,48,3836,47,432,27,37,7,3919
POA3352,141,7780,79,818,80,161,16,7917
POA3355,280,5352,195,495,39,127,10,5339
POA3356,135,6576,157,648,58,163,5,6380
POA3357,24,1658,17,152,18,8,3,1602
POA3358,65,1371,47,153,22,93,0,1473
POA3360,8,364,0,38,8,0,0,335
POA3361,0,276,4,26,0,0,0,295
POA3363,13,1513,15,188,18,8,0,1412
POA3364,11,965,3,90,12,6,0,862
POA3370,23,812,9,84,7,0,0,746
POA3371,6,453,0,49,0,0,0,406
POA3373,14,1061,10,90,15,0,0,1025
POA3374,4,193,7,28,0,0,0,170
POA3375,0,98,0,10,0,0,0,101
POA3377,98,3633,76,533,15,120,11,3738
POA3378,0,43,0,0,0,0,0,73
POA3379,0,324,4,27,0,0,0,318
POA3380,104,2489,123,297,14,46,0,2567
POA3381,0,570,8,85,3,5,0,530
POA3384,0,239,4,32,0,0,0,271
POA3385,0,242,0,40,5,0,0,190
POA3387,5,140,0,10,0,0,0,107
POA3388,9,194,0,29,0,4,0,255
POA3390,3,387,7,119,0,8,0,414
POA3391,0,81,5,9,3,0,0,74
POA3392,0,203,0,68,3,5,0,234
POA3393,3,1049,5,237,16,24,11,1151
POA3395,4,141,3,30,0,0,0,177
POA3396,7,281,0,61,3,16,0,345
POA3400,119,6244,141,1520,49,187,13,6205
POA3401,12,1944,35,513,8,4,0,2149
POA3407,0,208,3,15,0,6,0,199
